00000000) perceptual - 173.10170; equivariance_value - 0.76964; equivariance_jacobian - 0.96732
00000001) perceptual - 150.69275; equivariance_value - 0.46226; equivariance_jacobian - 0.77832
00000002) perceptual - 146.53186; equivariance_value - 0.41884; equivariance_jacobian - 0.72337
00000003) perceptual - 141.53772; equivariance_value - 0.38296; equivariance_jacobian - 0.71975
00000004) perceptual - 136.00537; equivariance_value - 0.33500; equivariance_jacobian - 0.68413
00000005) perceptual - 134.71252; equivariance_value - 0.34116; equivariance_jacobian - 0.70539
00000006) perceptual - 132.63048; equivariance_value - 0.33248; equivariance_jacobian - 0.69417
00000007) perceptual - 131.28999; equivariance_value - 0.32790; equivariance_jacobian - 0.68128
00000008) perceptual - 130.22820; equivariance_value - 0.29343; equivariance_jacobian - 0.66939
00000009) perceptual - 128.11996; equivariance_value - 0.29340; equivariance_jacobian - 0.67034
00000010) perceptual - 125.48616; equivariance_value - 0.28882; equivariance_jacobian - 0.67422
00000011) perceptual - 125.11564; equivariance_value - 0.28110; equivariance_jacobian - 0.65895
00000012) perceptual - 123.26888; equivariance_value - 0.28647; equivariance_jacobian - 0.65512
00000013) perceptual - 120.41391; equivariance_value - 0.27349; equivariance_jacobian - 0.65453
00000014) perceptual - 118.95805; equivariance_value - 0.26737; equivariance_jacobian - 0.64396
00000015) perceptual - 118.97140; equivariance_value - 0.26133; equivariance_jacobian - 0.63497
00000016) perceptual - 117.58813; equivariance_value - 0.25773; equivariance_jacobian - 0.62105
00000017) perceptual - 118.05832; equivariance_value - 0.25819; equivariance_jacobian - 0.62556
00000018) perceptual - 116.23181; equivariance_value - 0.25603; equivariance_jacobian - 0.62153
00000019) perceptual - 115.04624; equivariance_value - 0.25083; equivariance_jacobian - 0.62446
00000020) perceptual - 114.35231; equivariance_value - 0.25286; equivariance_jacobian - 0.61955
00000021) perceptual - 120.68061; equivariance_value - 0.23974; equivariance_jacobian - 0.61777
00000022) perceptual - 118.36267; equivariance_value - 0.23772; equivariance_jacobian - 0.61839
00000023) perceptual - 116.25574; equivariance_value - 0.25374; equivariance_jacobian - 0.61979
00000024) perceptual - 114.25175; equivariance_value - 0.23390; equivariance_jacobian - 0.59800
